Сумма.баллов,Оценка.1,Оценка.2,Оценка.3,Оценка.4,ГТО.оценка,Сочинение.оценка,Аттестат.с.отличием.оценка,Оригинал.,Общежитие,Дата.заявления,Тип.насел..пункта,Участие.в.олимпиадах,Дата.выдачи.док..об.образов,Школа,Сумма.положительных.оценок,,,
391,100,92,100,91,0,3,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018 18:40:44,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,383,,,
349,100,80,82,85,0,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,347,,,
175,NA,86,NA,87,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Победитель олимпиады из Перечня,22.06.2018,СУНЦ МГ,173,,,
349,100,80,74,94,0,1,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,348,,,
349,100,76,100,72,0,1,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018 19:16:24,ГОРОД,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,348,,,
368,100,96,82,87,0,3,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,365,,,
195,NA,96,NA,91,0,3,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Победитель олимпиады из Перечня,23.06.2018,ЛИЦ 1589 МОСКВ,187,,,
372,100,86,88,96,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,21.06.2018,СОШ 171 МОСКВ,370,,,
344,75,86,84,96,0,3,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,21.06.2018,СОШ 171 МОСКВ,341,,,
199,NA,100,NA,96,0,3,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Победитель олимпиады из Перечня,23.06.2018,ЛИЦ 1568 МОСКВ,196,,,
376,100,94,100,80,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,21.06.2018,СОШ 171 МОСКВ,374,,,
180,NA,84,NA,89,0,2,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Победитель олимпиады из Перечня,23.06.2018,ЛИЦ 1568 МОСКВ,173,,,
368,80,96,96,89,0,2,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1561 МОСКВ,361,,,
374,100,86,92,94,0,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1511,372,,,
381,90,92,94,98,0,2,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018 15:25:56,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1580 МОСКВ,374,,,
371,80,94,92,98,0,2,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ ГАЗПРОМ СОШ МОСКВ,364,,,
372,80,92,98,100,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018 12:17:11,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1580 МОСКВ,370,,,
360,85,98,84,91,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ ВТОРАЯ ШКОЛА МОСКВ,358,,,
394,100,94,100,94,0,1,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1574 МОСКВ,388,,,
400,100,100,100,98,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1535 МОСКВ,398,,,
394,100,98,100,94,0,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,Призер олимпиады из Перечня,23.06.2018,УНИВЕРСИТЕТСК ГИМНАЗ МГ,392,,,
362,100,84,94,83,0,1,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ ПЯТЬДЕСЯТ СЕДЬМ МОСКВ,361,,,
384,100,99,98,85,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Победитель олимпиады из Перечня,23.06.2018,СОШ 2007 МОСКВ,382,,,
369,100,88,80,94,0,2,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Призер олимпиады из Перечня,23.06.2018,УНИВЕРСИТЕТСК ГИМНАЗ МГ,362,,,
354,85,86,90,91,0,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1511,352,,,
386,100,98,96,91,0,1,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 1505 МОСКВ,385,,,
365,100,84,90,89,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018,ГОРОД,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1580 МОСКВ,363,,,
369,100,92,86,89,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018 18:42:41,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 179 МОСКВ,367,,,
341,70,88,76,98,2,2,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1533 МОСКВ,332,,,
364,85,94,88,96,0,1,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1511,363,,,
361,80,82,100,98,0,1,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1511,360,,,
399,100,96,100,96,0,2,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018,ГОРОД,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1502 МОСКВ,392,,,
176,NA,88,NA,82,0,1,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Победитель олимпиады из Перечня,29.06.2018,СОШ 10 ВЛАДИМИР,170,,,
386,100,90,100,94,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 179 МОСКВ,384,,,
343,100,80,74,87,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,21.06.2018,СОШ 171 МОСКВ,341,,,
341,80,94,78,87,0,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,23.06.2018,УНИВЕРСИТЕТСК ГИМНАЗ МГ,339,,,
346,80,82,100,82,0,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СУНЦ НГ,344,,,
344,70,88,90,87,2,2,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018 13:50:02,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ГИМНАЗ 1409 МОСКВ,335,,,
166,NA,82,NA,82,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Победитель олимпиады из Перечня,23.06.2018,СОШ 179 МОСКВ,164,,,
394,100,98,100,94,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ГИМНАЗ 1514 МОСКВ,392,,,
377,100,84,100,89,2,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018,ГОРОД,Призер олимпиады из Перечня,23.06.2018,ЛИЦ НАУЧНО ИНЖЕНЕРН ПРОФИЛ КОРОЛЕВ,373,,,
354,80,80,96,91,0,2,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,23.06.2018,СОШ 44 УФ,347,,,
360,80,88,92,91,2,2,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 86 МОСКВ,351,,,
383,95,95,92,100,0,1,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018 16:56:59,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,382,,,
390,90,98,94,100,0,3,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1511,382,,,
359,80,98,86,94,0,1,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018 18:01:35,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 354 МОСКВ,358,,,
280,55,70,60,85,2,3,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018,ГОРОД,Не является  победителем олимпиады,16.04.2018,СОШ 141 МОСКВ,270,,,
356,70,92,92,94,0,3,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,27.06.2018 18:56:54,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 2086 МОСКВ,348,,,
335,65,80,88,94,0,3,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,28.06.2018 11:35:29,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 117 МОСКВ,327,,,
396,100,98,100,91,0,2,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,28.06.2018,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,Победитель олимпиады из Перечня,23.06.2018,ЛИЦ ГУБЕРНСК ПЕНЗ,389,,,
397,100,98,100,94,2,3,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,21.06.2018,СОШ 171 МОСКВ,392,,,
376,100,94,78,96,0,3,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,28.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 2086 МОСКВ,368,,,
394,100,96,100,91,2,0,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,28.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,21.06.2018,СОШ 171 МОСКВ,387,,,
357,100,86,70,96,2,3,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,28.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 179 МОСКВ,352,,,
207,NA,100,NA,98,2,2,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,28.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер Всероссийской олимпиады,25.06.2018,ЛИЦ 30 САНКТ-ПЕТЕРБУРГ,198,,,
336,75,100,64,96,0,1,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,28.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1535 МОСКВ,335,,,
356,100,88,78,89,0,1,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,28.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,21.06.2018,СОШ 171 МОСКВ,355,,,
353,100,90,68,94,0,1,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,28.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 179 МОСКВ,352,,,
388,100,98,94,94,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,28.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Победитель олимпиады из Перечня,23.06.2018,ГИМНАЗ 1514 МОСКВ,386,,,
405,100,99,100,98,0,3,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,28.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,УНИВЕРСИТЕТСК ГИМНАЗ МГ,397,,,
193,NA,98,NA,89,0,1,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,28.06.2018,ГОРОД,Победитель олимпиады из Перечня,23.06.2018,УНИВЕРСИТЕТСК ГИМНАЗ МГ,187,,,
383,85,98,96,98,0,1,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,28.06.2018 18:27:42,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1511,377,,,
344,100,86,70,87,0,1,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,28.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,21.06.2018,СОШ 171 МОСКВ,343,,,
344,60,80,100,98,0,1,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,28.06.2018 18:48:54,ГОРОД,Призер олимпиады из Перечня,23.06.2018,ЛИЦ НАУЧНО ИНЖЕНЕРН ПРОФИЛ КОРОЛЕВ,338,,,
349,75,80,94,94,0,1,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,29.06.2018 12:02:27,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ГИМНАЗ 1522 МОСКВ,343,,,
363,80,84,98,94,0,2,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,29.06.2018 12:24:37,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1580 МОСКВ,356,,,
369,80,94,94,94,0,2,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,29.06.2018 12:25:12,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1580 МОСКВ,362,,,
341,100,82,86,73,0,0,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,29.06.2018,ГОРОД,Призер олимпиады из Перечня,22.06.2014,СОШ 3 БЕРЕЗНИК,341,,,
391,100,99,100,85,0,2,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,29.06.2018,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,Победитель олимпиады из Перечня,23.06.2018,ЛИЦ ГУБЕРНСК ПЕНЗ,384,,,
379,100,98,82,91,0,3,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,29.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 1324 МОСКВ,371,,,
348,80,90,100,78,0,0,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,29.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2017,ЛИЦ 1580 МОСКВ,348,,,
378,100,86,90,100,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,29.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1511,376,,,
348,75,82,94,91,0,1,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,29.06.2018 16:34:45,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1580 МОСКВ,342,,,
352,100,94,82,73,2,1,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,29.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1589 МОСКВ,349,,,
370,100,94,84,89,2,1,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,30.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 2007 МОСКВ,367,,,
356,80,84,98,87,0,2,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,30.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ГИМНАЗ 1522 МОСКВ,349,,,
389,100,84,100,96,2,2,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,30.06.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Победитель олимпиады из Перечня,29.06.2018,ЛИЦ 4 РЯЗАН,380,,,
365,100,92,80,91,0,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,30.06.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Призер олимпиады из Перечня,27.06.2017,ЛИЦ 153 УФ,363,,,
344,85,76,86,96,0,1,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,30.06.2018,ГОРОД,Не является  победителем олимпиады,22.06.2018,СУНЦ МГ,343,,,
383,100,100,88,94,0,1,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,30.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Победитель олимпиады из Перечня,23.06.2018,ЛИЦ 1580 МОСКВ,382,,,
349,80,84,84,98,0,3,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,30.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1535 МОСКВ,346,,,
364,100,94,78,91,0,1,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,01.07.2018,ГОРОД,Призер олимпиады из Перечня,25.06.2018,СОШ 75 ЧЕРНОГОЛОВК,363,,,
363,80,86,90,100,0,2,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,01.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,23.06.2018,СОШ 2072 МОСКВ,356,,,
372,100,76,100,94,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,01.07.2018 15:53:33,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ ВТОРАЯ ШКОЛА МОСКВ,370,,,
404,100,99,100,98,0,2,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,01.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ГИМНАЗ 1514 МОСКВ,397,,,
343,70,88,84,94,0,2,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,01.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 2086 МОСКВ,336,,,
358,100,80,80,96,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,01.07.2018 17:54:25,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 179 МОСКВ,356,,,
